age,height,weight,activity_level,diet_quality,smoking_status,alcohol_consumption,sleep_hours,stress_level,health_tips
47,199,68,High,Poor,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
38,193,56,Moderate,Good,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
55,184,83,Moderate,Good,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
53,153,81,Low,Average,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
64,160,61,Low,Average,Yes,Yes,8,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
52,152,99,Low,Good,No,Yes,4,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
45,168,77,High,Poor,No,No,9,High,Improve your diet by including more fruits and vegetables.
67,181,73,High,Good,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
77,185,60,High,Average,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
32,178,93,Low,Good,No,No,4,Medium,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
60,198,90,Moderate,Poor,No,No,6,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
48,195,55,High,Average,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
45,188,96,High,Good,Yes,No,4,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
69,155,52,Low,Good,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
22,155,82,Moderate,Good,No,Yes,7,High,Limit alcohol consumption to maintain liver health.
22,180,95,Low,Good,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
24,199,66,Moderate,Good,No,No,6,Low,Ensure you get at least 7-8 hours of sleep each night.
59,188,75,Low,Poor,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
59,195,62,Moderate,Average,Yes,No,7,High,Consider quitting smoking to improve your overall health.
21,181,68,High,Poor,Yes,No,7,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
57,158,72,High,Poor,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
62,198,97,Moderate,Poor,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
54,156,60,High,Poor,No,No,8,Medium,Improve your diet by including more fruits and vegetables.
45,164,98,Moderate,Poor,No,No,8,Medium,Improve your diet by including more fruits and vegetables.
31,152,80,Moderate,Average,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
62,171,53,Low,Good,Yes,No,7,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
18,151,58,Low,Poor,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
28,169,97,Moderate,Average,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
47,176,79,Low,Poor,No,No,7,Medium,Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
32,173,63,Moderate,Poor,Yes,No,7,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
18,195,75,Low,Poor,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
18,157,76,High,Poor,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
50,175,95,High,Poor,No,Yes,4,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
70,175,74,Low,Good,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
29,158,62,Moderate,Poor,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
47,162,61,Moderate,Good,Yes,Yes,7,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
23,175,85,Low,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
23,181,88,High,Poor,Yes,No,7,Medium,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
75,156,52,Low,Good,Yes,No,7,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
48,184,90,Low,Average,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
36,189,59,High,Poor,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
60,161,94,High,Good,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
34,177,58,High,Good,No,No,4,Medium,Ensure you get at least 7-8 hours of sleep each night.
73,194,60,Moderate,Average,No,No,6,Low,Ensure you get at least 7-8 hours of sleep each night.
35,198,67,High,Average,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
29,175,91,High,Good,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
27,185,67,Low,Good,No,No,8,High,Increase your physical activity to at least 30 minutes a day.
27,197,66,High,Average,Yes,No,7,Low,Consider quitting smoking to improve your overall health.
44,175,82,Low,Average,No,No,4,High,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
30,197,87,Moderate,Poor,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
18,192,55,Low,Average,No,No,9,Low,Increase your physical activity to at least 30 minutes a day.
57,190,59,High,Poor,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
46,199,55,Low,Good,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
72,163,65,High,Good,Yes,No,7,Medium,Consider quitting smoking to improve your overall health.
31,176,71,Moderate,Good,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
41,178,84,High,Poor,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
76,152,88,Low,Average,No,No,7,Medium,Increase your physical activity to at least 30 minutes a day.
75,154,82,Low,Good,No,No,9,High,Increase your physical activity to at least 30 minutes a day.
66,162,72,Low,Poor,Yes,No,8,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
45,166,59,Moderate,Good,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
61,194,65,Moderate,Good,Yes,No,8,High,Consider quitting smoking to improve your overall health.
43,165,66,Moderate,Poor,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
38,183,76,Moderate,Poor,No,No,7,Medium,Improve your diet by including more fruits and vegetables.
65,185,93,High,Poor,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
30,164,69,High,Poor,No,Yes,5,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
42,168,50,Moderate,Poor,Yes,No,7,Medium,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
23,171,95,Moderate,Good,No,Yes,8,Low,Limit alcohol consumption to maintain liver health.
52,183,79,High,Poor,No,No,9,High,Improve your diet by including more fruits and vegetables.
30,178,52,Moderate,Good,No,No,9,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
77,159,68,High,Poor,Yes,No,9,Medium,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
61,167,91,Moderate,Average,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
33,158,71,Moderate,Average,Yes,No,9,Low,Consider quitting smoking to improve your overall health.
77,196,89,High,Average,No,Yes,5,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
39,170,71,High,Good,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health.
54,175,55,Moderate,Average,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
67,189,50,High,Good,No,No,8,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
62,173,57,Low,Poor,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
30,155,83,High,Poor,No,No,9,High,Improve your diet by including more fruits and vegetables.
66,156,59,Moderate,Poor,No,No,6,Low,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
52,183,69,Moderate,Average,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
23,192,57,High,Poor,No,No,7,Low,Improve your diet by including more fruits and vegetables.
38,184,97,Low,Poor,Yes,Yes,7,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
78,199,72,High,Poor,Yes,No,5,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
49,188,58,Moderate,Poor,No,Yes,7,Low,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
52,178,50,High,Average,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
41,160,76,Moderate,Poor,Yes,Yes,5,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
37,191,71,Low,Poor,No,No,4,High,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
39,195,98,Moderate,Poor,Yes,No,9,High,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
65,186,84,Low,Good,Yes,Yes,5,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
76,178,62,Moderate,Good,Yes,Yes,8,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
24,156,59,High,Good,No,Yes,8,Low,Limit alcohol consumption to maintain liver health.
22,163,69,High,Good,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
27,164,73,High,Good,Yes,No,8,Low,Consider quitting smoking to improve your overall health.
42,155,83,Moderate,Good,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
65,198,94,Low,Poor,Yes,No,9,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
50,168,80,Moderate,Poor,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
28,184,62,Moderate,Good,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
44,194,85,High,Good,Yes,No,9,High,Consider quitting smoking to improve your overall health.
45,176,65,High,Average,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
34,199,97,Moderate,Good,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
52,153,82,Low,Good,No,No,6,High,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
40,183,85,Moderate,Poor,Yes,Yes,7,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
79,180,69,Moderate,Good,No,No,9,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
46,183,96,High,Average,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
46,176,79,High,Poor,No,Yes,9,Low,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
67,188,91,Low,Good,No,Yes,7,Medium,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
32,191,79,Moderate,Average,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
55,163,86,High,Poor,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
43,173,92,Low,Average,No,No,8,Low,Increase your physical activity to at least 30 minutes a day.
23,159,79,Low,Poor,Yes,No,9,Low,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
20,185,56,Low,Good,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
53,195,70,Low,Average,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
29,195,68,Moderate,Average,No,No,4,High,Ensure you get at least 7-8 hours of sleep each night.
69,167,53,Moderate,Good,Yes,Yes,8,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
31,160,71,High,Good,Yes,Yes,9,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
53,175,59,High,Average,No,Yes,7,Low,Limit alcohol consumption to maintain liver health.
74,198,61,High,Good,Yes,No,8,Low,Consider quitting smoking to improve your overall health.
49,156,92,Low,Good,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
48,196,79,Moderate,Average,No,No,4,Low,Ensure you get at least 7-8 hours of sleep each night.
23,150,62,Moderate,Poor,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
47,193,91,Low,Poor,No,Yes,9,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
45,197,66,High,Average,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
75,183,83,High,Good,No,No,6,Low,Ensure you get at least 7-8 hours of sleep each night.
71,174,91,High,Average,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
19,187,76,Moderate,Poor,No,Yes,6,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
79,181,76,Low,Average,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
58,197,59,High,Poor,No,No,9,High,Improve your diet by including more fruits and vegetables.
44,190,53,Moderate,Good,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
46,187,66,High,Average,No,Yes,8,High,Limit alcohol consumption to maintain liver health.
57,198,51,Moderate,Poor,No,No,8,Medium,Improve your diet by including more fruits and vegetables.
57,153,95,Moderate,Poor,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
51,198,91,Low,Average,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
59,189,82,Low,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
65,154,58,High,Good,Yes,No,8,High,Consider quitting smoking to improve your overall health.
63,189,94,Moderate,Poor,Yes,No,9,High,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
50,156,72,Moderate,Good,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
75,186,93,High,Average,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
22,197,77,Low,Good,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
72,175,55,High,Poor,Yes,No,8,High,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
18,161,79,Low,Good,Yes,Yes,9,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
29,157,92,High,Good,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
69,179,74,Moderate,Average,No,No,7,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
53,196,67,Moderate,Average,Yes,Yes,5,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
22,163,85,Low,Average,Yes,No,8,Low,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
44,153,93,Moderate,Average,No,Yes,6,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
33,189,61,High,Poor,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
67,169,79,Low,Good,No,Yes,5,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
46,167,89,High,Good,Yes,No,9,High,Consider quitting smoking to improve your overall health.
60,190,69,High,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
34,159,80,High,Average,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
70,158,70,High,Average,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
24,166,89,Moderate,Average,No,No,8,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
74,162,66,Low,Poor,No,No,7,High,Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
49,174,60,Low,Average,Yes,No,9,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
20,159,97,High,Poor,No,Yes,5,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
78,190,86,Moderate,Good,No,No,8,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
35,155,87,High,Average,Yes,Yes,8,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
68,186,71,Low,Good,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
19,196,92,Moderate,Average,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
50,174,50,High,Average,Yes,Yes,5,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
51,169,68,High,Good,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
56,169,69,Moderate,Average,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
22,157,62,Moderate,Poor,No,Yes,9,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
48,185,79,Low,Poor,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
22,189,50,Low,Good,No,No,9,High,Increase your physical activity to at least 30 minutes a day.
77,153,56,High,Poor,No,No,8,Medium,Improve your diet by including more fruits and vegetables.
33,166,92,High,Good,Yes,Yes,8,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
39,187,92,Low,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
75,160,69,Low,Good,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
69,166,59,High,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
56,176,66,Low,Poor,Yes,No,9,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
28,188,64,High,Average,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
34,161,51,Moderate,Good,No,Yes,9,Low,Limit alcohol consumption to maintain liver health.
20,168,79,Low,Good,Yes,No,7,Low,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
64,185,99,Low,Good,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
79,174,69,High,Average,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
64,199,71,Moderate,Poor,Yes,Yes,9,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
64,170,74,High,Average,Yes,No,9,High,Consider quitting smoking to improve your overall health.
50,165,94,Low,Poor,No,Yes,8,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
57,159,70,Moderate,Good,Yes,No,7,Low,Consider quitting smoking to improve your overall health.
41,156,79,High,Poor,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
79,152,88,High,Poor,Yes,No,8,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
19,173,55,Low,Poor,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
54,157,67,Low,Average,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
43,153,58,Low,Poor,Yes,No,5,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
26,169,96,Low,Average,No,Yes,8,High,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
65,195,81,Low,Average,No,No,7,Medium,Increase your physical activity to at least 30 minutes a day.
45,189,93,Moderate,Poor,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
18,164,80,Low,Poor,No,Yes,7,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
53,155,84,High,Average,No,Yes,9,Medium,Limit alcohol consumption to maintain liver health.
44,169,71,Moderate,Average,No,No,6,Medium,Ensure you get at least 7-8 hours of sleep each night.
65,196,87,High,Poor,No,Yes,8,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
70,190,97,Low,Good,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
60,152,74,Low,Average,Yes,No,9,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
40,199,84,High,Poor,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
49,192,53,Moderate,Good,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
19,192,61,Moderate,Average,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
47,163,81,Low,Average,No,Yes,8,High,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
21,174,97,Low,Average,No,No,8,Low,Increase your physical activity to at least 30 minutes a day.
21,182,68,High,Good,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
52,188,76,Moderate,Good,Yes,No,9,Medium,Consider quitting smoking to improve your overall health.
70,155,86,Moderate,Good,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
54,193,90,High,Average,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night.
60,177,91,Moderate,Average,No,Yes,6,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
64,192,71,Low,Poor,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
